FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ASM,American Samoa,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,3.50365,3.77894,3.56805,3.68609,3.96001,,,,,,,,,,,,,,,,,,,,
A,Annual,ATG,Antigua and Barbuda,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,29.3678,32.8649,49.5963,59.1906,68.5984,108.025,136.689,137.547,164.743,160.295,196.871,203.873,145.979,129.858,135.235,196.848,200.069,203.387,,201.392,200.335,199.244,200.541,,
A,Annual,AUS,Australia,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,44.7511,57.4839,64.6582,72.3885,82.2081,90.7636,95.9663,101.458,103.507,101.914,101.619,105.824,106.5,107.332,106.206,107.608,109.129,107.8,110.033,109.753,104.93,105.119,109.469,112.513,112.581
A,Annual,AUT,Austria,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,76.3391,81.3331,83.3495,89.5526,97.7795,105.296,112.226,119.466,129.949,137.015,146.334,155.155,161.156,156.483,151.531,155.837,126.798,123.415,124.23,120.776,120.132,121.358,121.166,121.746,124.459
A,Annual,AZE,Azerbaijan,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,5.14264,8.84659,9.53864,12.5837,17.156,26.0781,38.1512,51.1876,73.2222,85.7487,99.489,109.334,107.989,106.583,109.567,109.682,103.248,101.59,102.987,106.328,101.597,105.694,107.506,107.687,109.543
A,Annual,BDI,Burundi,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.252234,0.50368,0.762002,0.908684,1.37553,2.01653,2.54273,3.30806,5.65018,10.2904,17.8962,19.7015,22.3128,24.3007,29.5678,45.2379,47.6697,51.4533,53.2737,53.2996,52.5571,59.7008,56.26,63.1631,
A,Annual,BEL,Belgium,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,54.9079,74.8226,78.407,82.9377,87.6255,91.6576,93.3538,101.06,105.901,108.9,111.132,113.202,110.856,110.349,113.6,113.292,110.749,99.8304,100.164,100.165,99.9101,101.463,101.68,103.196,103.905
A,Annual,BEN,Benin,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.768193,1.67884,2.85027,2.98462,5.62957,7.07639,12.1442,22.9147,39.2846,52.9301,72.2115,76.9318,80.8629,89.9019,78.517,82.0193,76.0182,72.8671,76.408,81.3235,85.2391,94.9183,105.745,116.036,125.941
A,Annual,BFA,Burkina Faso,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.211688,0.61965,0.875435,1.81994,2.93277,4.54743,7.07267,12.5405,19.82,24.3387,35.2848,46.1058,58.0942,63.5243,68.5396,76.9373,79.6698,90.2081,94.622,97.1499,102.973,112.198,119.463,,
A,Annual,BGD,Bangladesh,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.207367,0.380101,0.773751,0.968289,1.94647,6.21909,13.0671,23.2247,29.8647,34.0413,44.6275,54.9307,62.6684,74.4595,80.3128,82.4276,84.5595,93.069,98.9289,100.4,106.002,110.012,109.867,111.281,108.077
